EFFORTID,TRANSID,CAPID,SEARCHER,Date,OCC,PITTAG,ALTPIT,IDCODE,ALTID,NEW,SVL,TOTAL,WEIGHT,BREAK,SEX,TRANSECT,LOCATION,CAPLAT,CAPLON,TRAPTYPE,ENTRTYPE,BAIT,OTHRTYPE,POSITIO1,SITE,CLASS,COMMENT,CI,SEXdeterm,SEXconf,SEXnotes,PROJECTCODE,QC Concerns,QC Flag,QC Resolutions
13244,60968,22323,ACN,29-Nov-16,,000792809,,3662,,OLD,1012,1271,66,+,,A,13,,,V,,,,,NWFN,,SKINNY; POSSIBLY DEHYDRATED; RIGHT EYE SUNKEN IN (K:\USGS PHOTOS\CP snake condition Photos\29 Nov 2016 PIT 000792809 AND \29 Nov 2016 PIT 000792809 (2),0.648385606,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13163,60032,22196,MCV,26-Oct-16,,000876772,,3837,,OLD,1178,1370,154,+,,I,5,,,V,,,,,NWFN,,HEMIPENES FLARED,0.891424004,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13187,60358,22241,CJR,02-Nov-16,,000876772,,3837,,OLD,1178,1370,148,+,,E,5,,,V,,,,,NWFN,,,0.856693198,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13155,59989,22188,FTE,03-Nov-16,,000876772,,3837,,OLD,1165,1361,152,+,,B,7,,,V,,,,,NWFN,,HEMIPENES FLARED,0.915947977,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13329,62030,22513,CJR,30-Dec-16,,000876772,,3837,,OLD,1168,1358,145,+,,D,5,,,V,,,,,NWFN,,"WONKY BLOODY EYE, HEAVY SCARRING ON TAIL",0.865680546,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13350,62277,22541,FTE,12-Jan-17,,000876772,,3837,,OLD,1179,1368,157,+,,H,6,,,V,,,,,NWFN,,DAMAGED TAIL AND DORSAL SIDE OF LOWER BODY,0.905989963,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13159,59998,22190,VRD,27-Oct-16,,028284638,,1639,,OLD,1017,1272,100,+,,U,9,,,V,,,,,NWFN,,,0.966372134,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
13262,61213,22361,VRD,07-Dec-16,,028284638,,1639,,OLD,1014,1272,105,+,,X,3,,,V,,,,,NWFN,,,1.024752356,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
13303,61708,22459,TJH,22-Dec-16,,028284638,,1639,,OLD,1026,1274,114,+,,Y,2,,,V,,,,,NWFN,,,1.069610397,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
13354,62331,22555,MGN,04-Jan-17,,028284638,,1639,,OLD,1004,1252,113,+,,S,10,,,V,,,,,NWFN,,,1.139806392,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN SCENT VIS TRAIL,,,
13277,61465,22400,VRD,15-Dec-16,,028347041,,9286,,OLD,1160,1478,161,+,,N,4,,,V,,,,,NWFN,,SCARRING ALONG BODY AND TAIL,0.985354334,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13188,60363,22237,VRD,10-Nov-16,,028515582,,9141,,OLD,1112,1348,102,+,,R,12,,,V,,,,,NWFN,,,0.725633744,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13160,59975,22185,TJH,01-Nov-16,,028516377,,8487,,OLD,1116,1394,134,+,,A,8,,,V,,,,,NWFN,,SCARRING ALONG ALL OF TAIL,0.941304645,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13155,59942,22178,FTE,03-Nov-16,,028516377,,8487,,OLD,1099,1370,135,+,,J,11,,,V,,,,,NWFN,,DAMAGE TO TAIL,1.000826513,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13269,61312,22381,FTE,08-Dec-16,,028516377,,8487,,OLD,1097,1364,130,+,,I,14,,,V,,,,,NWFN,,SCARRING AROUND TAIL,0.969910137,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13304,61726,22465,FTE,22-Dec-16,,028516377,,8487,,OLD,1114,1383,146,+,,O,10,,,V,,,,,NWFN,,OLD SCARS ON TAIL,1.032103245,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13286,61509,22413,CJR,20-Dec-16,,028529886,,3615,,NEW,490,626,15,,F,P,4,,,V,,,,,NWFN,,,1.048523631,F,4,"AT LEAST FOUR SEXINGS AS F, ONE >800MM",NWFN SCENT VIS TRAIL,,,
13191,60398,22247,CJR,08-Nov-16,,028549321,,4715,,OLD,993,1240,97,+,,G,1,,,V,,,,,NWFN,,,1.014727758,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13237,60919,22315,TJH,23-Nov-16,,028549321,,4715,,OLD,1005,1250,94,+,,E,6,,,V,,,,,NWFN,,,0.945029768,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13253,61113,22339,TJH,05-Dec-16,,028549321,,4715,,OLD,1008,1250,92,+,,S,5,,,V,,,,,NWFN,,,0.915807198,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13192,60420,22249,MCV,31-Oct-16,,028553633,,9487,,OLD,972,1217,84,+,,AA,9,,,V,,,,,NWFN,,HAS HARD POOP,0.942487226,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13166,60076,22201,AFC,07-Nov-16,,028553633,,9487,,OLD,965,1192,88,+,,Y,4,,,V,,,,,NWFN,,,1.010833413,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13229,60839,22302,VRD,23-Nov-16,,028553633,,9487,,OLD,980,1221,90,+,,U,9,,,V,,,,,NWFN,,SCARRING ON TAIL,0.983146944,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13243,60976,22320,MCV,29-Nov-16,,028553633,,9487,,OLD,984,1227,83,+,,U,9,,,V,,,,,NWFN,,,0.894661713,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13265,61254,22371,MCV,05-Dec-16,,028553633,,9487,,OLD,995,1230,85,+,,I,1,,,V,,,,,NWFN,,,0.883311624,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13293,61603,22424,FTE,15-Dec-16,,028553633,,9487,,OLD,982,1224,84,+,,V,4,,,V,,,,,NWFN,,,0.911499398,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13303,61709,22460,TJH,22-Dec-16,,028553633,,9487,,OLD,980,1212,86,+,,Q,10,,,V,,,,,NWFN,,,0.939451524,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13161,60009,22192,VRD,01-Nov-16,,028558054,,3976,,OLD,1076,1360,121,+,,N,9,,,V,,,,,NWFN,,SNAKE WAS IN PROCESS OF EATING CF (SPIT IT OUT),0.965423823,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13278,61424,22394,CJR,14-Dec-16,,028558054,,3976,,OLD,1084,1367,125,+,,H,2,,,V,,,,,NWFN,,HEMIPENES FLARED,0.972101125,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13315,61848,22490,MCV,28-Dec-16,,028558513,,2438,,OLD,1040,1279,72,+,,O,11,,,V,,,,,NWFN,,SCARRING ON DORSAL THROUGHOUT BODY,0.645356902,F,4,FOUR SEXINGS AS M [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13195,60476,22255,FTE,10-Nov-16,,028583619,,4735,,OLD,1022,1231,98,+,,B,7,,,V,,,,,NWFN,,EXTENSIVE DAMAGE TO TAIL; SOME CUTS ON LOWER LEFT SIDE OF BODY.,0.931623246,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13268,61311,22380,VRD,08-Dec-16,,028583619,,4735,,OLD,,,,,,V,6,,,V,,,,,NWFN,,SNAKE RECAPTURED; SAME AS MCV'S 3RD SNAKE,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13270,61344,22386,MCV,08-Dec-16,,028583619,,4735,,OLD,1037,1224,89,+,,U,6,,,V,,,,,NWFN,,MAJOR DAMAGE AND SCARRING TO TAIL; POSSIBLE BITE MARKS,0.805567864,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13290,61561,22418,MCV,15-Dec-16,,028583619,,4735,,OLD,,,,,,D,12,,,V,,,,,NWFN,,SAME SNAKE CAUGHT BY TJH ON TRANSECT C; NO MORPH NEEDED,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13280,61462,22398,TJH,15-Dec-16,,028583619,,4735,,OLD,1034,1211,94,+,,C,13,,,V,,,,,NWFN,,,0.859191302,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13349,62268,22538,TJH,12-Jan-17,,028583619,,4735,,OLD,1039,1218,105,+,,F,9,,,V,,,,,NWFN,,,0.944215379,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13148,59828,22165,FTE,26-Oct-16,,028593867,,7998,,OLD,1107,1396,119,+,,R,12,,,V,,,,,NWFN,,HEMIPENES FLARED,0.860084502,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,,,
13265,61250,22369,MCV,05-Dec-16,,028593867,,7998,,OLD,1146,1432,124,+,,J,9,,,V,,,,,NWFN,,,0.792730973,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,,,
13261,61198,22353,FTE,06-Dec-16,,028593867,,7998,,OLD,1134,1424,124,+,,Y,10,,,V,,,,,NWFN,,HEMIPENES FLARED,0.823072417,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,,,
13275,61402,22391,CJR,12-Dec-16,,028593867,,7998,,OLD,1124,1414,135,+,,B,11,,,V,,,,,NWFN,,HEMIPENES FLARED,0.924699889,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,,,
13327,62013,22509,MCV,03-Jan-17,,028593867,,7998,,OLD,1139,1430,130,+,,I,13,,,V,,,,,NWFN,,CLOSER TO TRANSECT I,0.849481476,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,,,
13341,62174,22529,CJR,09-Jan-17,,028593867,,7998,,OLD,1138,1430,133,+,,H,10,,,V,,,,,NWFN,,SNAKE LOOKS THIN,0.871810962,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,,,
13164,60046,22197,MCV,24-Oct-16,,028598116,,4918,,OLD,1082,1341,131,+,,F,13,,,V,,,,,NWFN,,,1.025302976,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13254,61130,22344,VRD,01-Dec-16,,028598116,,4918,,OLD,1065,1321,135,+,,Q,2,,,V,,,,,NWFN,,,1.115911847,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13262,61247,22367,VRD,07-Dec-16,,028598116,,4918,,OLD,1071,1331,131,+,,V,11,,,V,,,,,NWFN,,,1.06213314,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13288,61536,22414,VRD,20-Dec-16,,028598116,,4918,,OLD,1061,1323,133,+,,B,12,,,V,,,,,NWFN,,,1.113656609,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13300,61665,22445,CJR,21-Dec-16,,028598116,,4918,,OLD,1072,1340,141,+,,O,7,,,V,,,,,NWFN,,,1.139542844,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13304,61719,22461,FTE,22-Dec-16,,028598116,,4918,,OLD,1081,1340,139,+,,P,7,,,V,,,,,NWFN,,"SCARRING ALONG BODY(OLD), DEAD FLAGE",1.091405892,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13173,60182,22220,ACN,31-Oct-16,,028598779,,8546,,OLD,1100,1361,166,+,,D,5,,,V,,,,,NWFN,,MORPH TIME IS ACTUALLY 8 MINUTES; MORPHED INCIDENTAL FIRST.,1.226739576,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13187,60358,22243,CJR,02-Nov-16,,028598779,,8546,,OLD,1111,1381,159,+,,E,3,,,V,,,,,NWFN,,,1.134720046,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13271,61324,22383,ACN,08-Dec-16,,0A140A496A,,5859,,OLD,1041,1312,132,+,,E,4,,,V,,,,,NWFN,,CUTS ON DORSAL SIDE OF TAIL;  WAS ON WOODEN DEAD VINES,1.17930914,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13296,61632,22437,MCV,21-Dec-16,,0A140A496A,,5859,,OLD,1037,1306,136,+,,B,7,,,V,,,,,NWFN,,SCARRING ALONG TAIL,1.230980107,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13305,61737,22471,CJR,27-Dec-16,,0A140A496A,,5859,,OLD,1044,1317,134,+,,H,3,,,V,,,,,NWFN,,,1.185552553,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN SCENT VIS TRAIL,,,
13161,60012,22193,VRD,01-Nov-16,,0A140A497C,,8316,,NEW,475,611,58,+,F,R,9,,,V,,,,,NWFN,,,4.330758442,F,4,"FOUR SEXINGS AS F, ONE >800MM",NWFN SCENT VIS TRAIL,CI FLAGGED,1,CHECKED CAPTURE HISTORY AND NEXT CAPTURE (16 GRAMS) NOT CI FLAGGED. THIS WEIGHT PROBABLY IN ERROR. DELETED.
13236,60888,22313,CJR,28-Nov-16,,0A140A497C,,8316,,OLD,527,660,16,+,F,T,8,,,V,,,,,NWFN,,,0.953337289,F,4,"FOUR SEXINGS AS F, ONE >800MM",NWFN SCENT VIS TRAIL,,,
13293,61609,22428,FTE,15-Dec-16,,0A140A4A1A,,3793,,OLD,1088,1357,169,+,,T,9,,,V,,,,,NWFN,,,1.297584807,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13303,61707,22458,TJH,22-Dec-16,,0A140A4A1A,,3793,,OLD,1095,1358,154,+,,R,10,,,V,,,,,NWFN,,,1.156309642,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13321,61950,22502,VRD,03-Jan-17,,0A140A4A1A,,3793,,OLD,1096,1363,139,+,,O,12,,,V,,,,,NWFN,,,1.040363999,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN SCENT VIS TRAIL,,,
13164,60049,22198,MCV,24-Oct-16,,0A140A4A26,,5765,,OLD,1078,1267,111,+,,B,6,,,V,,,,,NWFN,,HEMIPENES FLARED; SCARRING ON TAIL,0.879973311,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13305,61737,22473,CJR,27-Dec-16,,0A140A4A26,,5765,,OLD,1104,1300,140,+,,H,0,,,V,,,,,NWFN,,HEMIPENES OBSERVED; HEAVY SCARRING ON TAIL,1.021538498,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13306,61757,22475,VRD,27-Dec-16,,0A140A4A26,,5765,,OLD,,,,,,J,0,,,V,,,,,NWFN,,SAME SNAKE CAUGHT BY CJR EARLIER,,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,,,
13329,62040,22517,CJR,30-Dec-16,,0A140A4A26,,5765,,OLD,1101,1294,133,+,,H,8,,,V,,,,,NWFN,,,0.97975102,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN SCENT VIS TRAIL,RTL FLAGGED,,CAPTURE HISTORY JUST BEFORE AND AFTER SHOW SIMILAR SVL AND TOT.  TAIL BREAK CAUSING RTL FLAG
13155,59927,22175,FTE,03-Nov-16,,0A140A4A27,,2849,,OLD,945,1196,73,+,M,SWE,12,,,V,,,,,NWFN,,HEMIPENES OBSERVED,0.897091953,M,4,"MORE THAN THREE SEXINGS AS MALE, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
13167,60097,22208,VRD,03-Nov-16,,0A140A4A27,,2849,,OLD,948,1198,80,+,M,AA,13,,,V,,,,,NWFN,,HEMIPENES OBSERVED,0.973173058,M,4,"MORE THAN THREE SEXINGS AS MALE, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
13304,61725,22464,FTE,22-Dec-16,,0A140A4A27,,2849,,OLD,975,1227,87,+,M,AA,10,,,V,,,,,NWFN,,HEMIS OBSERVED,0.966391599,M,4,"MORE THAN THREE SEXINGS AS MALE, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
13351,62317,22553,CJR,12-Jan-17,,0A140A4A27,,2849,,OLD,969,1229,90,+,M,Y,8,,,V,,,,,NWFN,,HEALING INJURIES AROUND TAIL; HEMIPENES OBSERVED,1.020015212,M,4,"MORE THAN THREE SEXINGS AS MALE, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
13181,60281,22229,CJR,31-Oct-16,,0A140A4A52,,3483,,OLD,985,1226,95,+,F,C,11,,,V,,,,,NWFN,,,1.020603668,F,4,"MORE THAN FOUR SEXINGS AS F, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
13167,60081,22203,VRD,03-Nov-16,,0A140A4A52,,3483,,OLD,980,1221,92,+,F,V,7,,,V,,,,,NWFN,,,1.004994654,F,4,"MORE THAN FOUR SEXINGS AS F, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
13190,60385,22245,CJR,07-Nov-16,,0A140A4A52,,3483,,OLD,988,1234,94,+,F,S,9,,,V,,,,,NWFN,,,0.999823548,F,4,"MORE THAN FOUR SEXINGS AS F, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
13243,60989,22325,MCV,29-Nov-16,,0A140A4A52,,3483,,OLD,986,1228,84,+,,R,14,,,V,,,,,NWFN,,,0.899427545,F,4,"MORE THAN FOUR SEXINGS AS F, MORE THAN ONE >800MM",NWFN SCENT VIS TRAIL,,,
